Kreher Funkenerosion	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Weinmüller Formen- und Werkzeugbau GmbH	Weinmüller Formen- und Werkzeugbau GmbH	Hundshalde 5	Robin Stefan Weinmüller	Marc Christian Weinmüller
Batz & Moosmüller GbR	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bauschlosserei Axel Spranger Metallwerk	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Karl Lutz Nachf. GmbH Zaun- /Torbau - Schlosserei	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Preisner Werkzeugbau	Werkzeugbau Leo Stegmann, Inh. Helga Prein Schilling e.Kfm.	Neustr. 87-89	Helga Prein Schilling	<Not Found>
Stahlbau-Schlosserei Klaus Bekbissinger	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Hoki-Service GbR	<Not Found>	<Not Found>	<Not Found>	<Not Found>
E.Kroll GmbH Stahlbau • Schlosserei • Metallverarbeitung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Binder GmbH Schlosserei	Schreinerei Binzler GmbH	Hauptstr. 38	<Not Found>	<Not Found>
H. Friedrich GmbH CNC-Bearbeitung v. Präzisionsteilen	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Reisinger Schlosserei und Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Erich Schüssler Mechan. Fertigung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
FEBUR Team-Tec Industrieservice-Umwelttechnik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallservice Maier Günther Maier	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Gotthilf Hiesinger Schmiede-Schlosserei	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Alexander Lairich	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Roland Womes	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Walter Widmann GmbH Formenbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
IWTS Industrie-Wärmetechnik Stöcker und Metallbau GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Daniel Keuerleber Mechan. Werkstätte	<Not Found>	<Not Found>	<Not Found>	<Not Found>
WAH Tor- & Industrieservice GmbH Inh. Peter Rau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Hörner GmbH Präzisionsmechanik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Künstner Inh. Steffen Ziegler	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Heinz Pesek	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Schwammberger Inh. Markus Schwammberger	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Beck GmbH  Metallbau - Bauelemente	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Hörmann Metallbau Schlosserei Wilfried Hörmann	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Fischer Fahrzeugbau + Landmaschinen Klaus Fischer	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Halbgewachs + Burkhardt & Co. Metallverarbeit.Metallveredel. GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Creativ Metallbau Tamm	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Pfisterer-Schüttler GmbH Wälzlagerfertigung - Sonderteile	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Gitterroste - Metallbau E. & H. Kraiser Inh. Hans Kraiser	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Kirchknopf Inh. Hans Kirchknopf	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Julius Trautwein KG Zweiradmechanikerbetrieb	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Jochen Strasser Stahl- und Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Hans Maier	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Justizvollzugsanstalt Rottenburg -Vollzugliches Arbeitswesen (VAW)-	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schaupp Stahlbau GmbH	Schaupp, Stahlbau GmbH	Hemmendorferstr. 30	<Not Found>	<Not Found>
Metallbau Technik Anhorn Inh. Wolfgang Anhorn	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Heilig GmbH & Co. KG Metallhandwerk	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Peter Peschel e.K. Maschinenhandel & Service	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Stephan Wizemann Schlosserei - Stahlbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Willi Kissner	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Eduard Weber Formenbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Achim Steinhilber Metallbau - Schlosserei	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Kocher Feinmechanik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Turgut Akdag Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Siegfried Siegl	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schmiede Alexander Zimmermann	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Ulrich Dietze	<Not Found>	<Not Found>	<Not Found>	<Not Found>
MDM Metall- & Designwerkstatt Andreas Mourouzidis	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Günther Klett Mech. Werkzeuge	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Zürn GmbH & Co. KG Präzisions-Spannwerkzeuge	Zürn GmbH & Co. KG Präzisions-Spannwerkzeuge	Uhlandstr. 23	Ingolf Klett	Klara Martincsek
Schlosserei und Stahlbau Nakel	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schelling Schlosserei und Metallbau Thomas Schelling	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schiller Metallbau e.K. Inh. André Hedwig	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bruno Metallbearbeitung	Union of European Turkish Democrats Ortsverein Hof e.V.	Am Breiten Rasen 22	Axel Romanowicz	<Not Found>
Schlosserei Manfred und Roland Schmid Gbr.	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Sven Wössner GmbH	Sven Wössner GmbH	Hauptstr. 64	<Not Found>	<Not Found>
Müller GbR Rolf Müller, Christoph Müller	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Klaus Kaupp	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Kreidler GmbH Schleiftechnik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Andreas Gutekunst Hufbeschlagschmiede	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau-Schlosserei Werner Brezing	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bulmer Metallbau e.K. Inh. Michael Jooss	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Rolf Krauth GmbH	Rolf Krauth GmbH	Turmfeldstr. 55	Rolf Dirk Krauth	<Not Found>
Helber Metallbau GmbH	Kirn Management GmbH	Zinsbachstr. 8	Mirjam Kirn	<Not Found>
Metallwaren - Leuchtschriften Ulli Pross	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Kühnle Kutschenmanufaktur GmbH & Co. KG	KÜHNLE Kutschenmanufaktur GmbH & Co. KG	Silberburgstr. 160	Heidi Kühnle	<Not Found>
Thomas Briol Werkzeug- und Formenbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
KIR METALL Remzi Ahmet Kir	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Funk Dreidimensional, Walter Funk	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Kopp	Haxel Metallbau e.K.	Bornstr. 1	Mario Sietzke	<Not Found>
Rau Metallbau-Bauschlosserei Hans-Jochen Rau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Walter Finkbeiner GmbH Hebetechnik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bau- u. Kunstschlosserei Kai Heinzelmann	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Stefan Braun Metallbaumeister	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Jürgen Okolowski Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Egon Haist GmbH Schlosserei-Stahlbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Morlock Präzisionstechnik e.K.	Morlock Präzisionstechnik e.K.	Ruhesteinstr. 349	Rudi Morlock	<Not Found>
Georg Steinberger Kunstschmiede-Schlosserei	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Friedemann Fuss	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Carl Schuler Stahlbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Kaupp Blechbearbeitung GmbH & Co. KG	Kaupp Blechbearbeitung GmbH & Co. KG	Industriestr. 39	Mareen Kaupp	Ulrich Herbert Kaupp
MS Alu & Glas Marcus Schremmer	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Dieter Gogel Schlossermeister	<Not Found>	<Not Found>	<Not Found>	<Not Found>
NWT Haug GmbH Naben-Wellen-Technik Aach	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Heinrich Seeger Schlosser- u. Mech.meister	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Haas GmbH & Co. KG Werkzeug- u. Formenbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei - Stahlbau Jörg Stein	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Reinhard Jäckle Mech. Werkstätte und CNC-Fertig.	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Alfred Mutschler Fahrzeug- u. Metallbau GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Gutekunst Metall e. K. Inh. Volker Gutekunst	<Not Found>	<Not Found>	<Not Found>	<Not Found>
FISCHER Schlosserei und Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Roth GmbH plastic + form	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Verzahntechnik Wahl GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Roller & Söhne GmbH Industriebedarf - Maschinenbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Kraft Metallbau Thomas Kraft	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bitzer-Mechanik Gerhard Bitzer	<Not Found>	<Not Found>	<Not Found>	<Not Found>
MAFU GmbH Automation	<Not Found>	<Not Found>	<Not Found>	<Not Found>
KOCH Metallbau Schlosserei-Stahlbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
BAUR Metallwerkstatt	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei-Metallbau Bernd Weissenegger	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bailer CNC GmbH & Co. KG	Bailer-CNC GmbH & Co. KG	Gartenstr. 11	Ursula Bailer	<Not Found>
Ruedi Schüpbach Schmiedeatelier & Bauschlosserei	<Not Found>	<Not Found>	<Not Found>	<Not Found>
GS Geländer- und Stahlbau Karl-Heinz Gleichmann	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlaich GmbH & Co. KG Maschinen - Anlagenbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Zahnradfertigung OTT GmbH & Co. KG	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Alwin Tollkühn Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Maurer GbR	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Daikeler	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Josef Wolfer	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Bantle	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Weißinger GmbH & Co. KG	Weißinger GmbH & Co. KG	Kientenstr. 31	Roland Weißinger	Dieter Baas
Schlosserei Martin Kranke	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Wendelin & Lange GmbH & Co. KG	Lange & Haasis GmbH Co. KG	Borsigstr. 26	Max-Daniel Haasis	Bernd Wendelin
TSB Mader GmbH Türtechnik-Service-Beratung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Feinwerkmechanik + Metallbau Daniel Merker	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Helmut Ast Metallgießerei GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Andreas Gempper Metallbaumeister Metall- und Stahlbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Reinhard Schairer Schlosserei + Stahlbau GmbH	Reinhard Schairer Stahlbau und Schlosserei GmbH		<Not Found>	<Not Found>
Drehteilfertigung Simmendinger	Drehteilfertigung Simmendinger, Inhaber Edgar Simmendinger e.K.	Olgastr. 33	Edgar Simmendinger	<Not Found>
Rolf Eichelmann Sicherheitsfachgeschäft, Schlosserei, Haus der Geschenke	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Einholz Welsch GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau  Elmar Neuburger	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Hubert Bulach GmbH Metallwaren Werkzeugbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Lothar Gröner Schlosserei Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schmiede Paul Fürst	<Not Found>	<Not Found>	<Not Found>	<Not Found>
VEMA Werkzeug- u. Formenbau GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
ERATH Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Ritter TORE-TÜREN-ZARGEN Karl-Heinz Ritter	Rittner Food Service GmbH & Co. KG	Ohmstr. 2	Branislav Barisic	Damir Prstac
Franz Ott Metallwarenfabrik GmbH CNC-Blechbearbeitung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Thomas Schilles Form & Funktion	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Martin Huber Stahl- u. Edelstahlverarbeitung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bauschlosserei Roland Wonisch GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Wendelstein Zaun + Tor	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Gutbrod GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Gerhard Bauder Mechan. Werkstätte	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Wenzel Düsentechnik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Laupp Schlosserei / Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bauschlosserei Hans Haas GbR Inh. Peter und Wolfgang Haas	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Klaus Schwenkel	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Nille Blechbearbeitung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bau- u. Kunstschlosserei Wolfgang Scheller	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Andreas Dolde	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Bernd Haussmann	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Maschinenbau Matthias Balz	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Schlotz	Schloss Tempelhof eG	Tempelhof 3	Rainer Christian Stelzl	Dr. Marieluise Stiefel
PAPP Schlosserei & Metallverarbeitung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Thomas Taschner Schlosserei & Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Florea Dienstleistungen	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Wacker	Metallbau Wacker & Servicewerkstatt für PKW, LKW und Landtechnik e.K.	Ebene 14	Karl-Heinz Wacker	<Not Found>
Schlosserei/Metallbau Günther Kerner	<Not Found>	<Not Found>	<Not Found>	<Not Found>
SPIONEKs Fertigung und Vertrieb	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Ringhoffer Verzahnungs- technik GmbH & Co.KG	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Rainer Mössinger	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Alexander Hess Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
BruderhausDiakonie Stiftung Gustav Werner u. Haus am Berg	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Richard Katz GmbH  Stahlbau-Metallbau-Edelstahlverarbeitung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Dachs Mechanische Werkstätte und Gerätebau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Vogelwaid Andreas + Kai GbR Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
WEDA Roland Werner GmbH Textilmechanik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Willi Diebold GmbH Schlosserei-Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Grauer + Vöhringer e.K.	Grauer + Vöhringer e.K.	Wannweilerstr. 61	Michael Grauer	<Not Found>
Grauer Metallbau & Gestaltung GmbH	Grauer Metallbau und Gestaltung GmbH	Markwiesenstr. 39-41	Andreas Mourouzidis	<Not Found>
Kotzur Mechanische Fertigung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Gustav Merkh GmbH Edelstahlverarbeitung - Metall- und Stahlbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Heinlin Metallbau Schlosserei	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Christoph Beck Schlosserei Stahlbau Metallbau Edelstahlbearbeitung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Roland Ensle GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Alu T&V Wagner u. Freimann GmbH & Co. KG	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Willi Christner GmbH & Co. KG Funkenerosionstechnik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Wolfgang Veit	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Morgenstern	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Volk GmbH Schweißfachbetrieb Mechanische Werkstatt	Volk GmbH Schweißfachbetrieb-Mechanische Werkstatt		<Not Found>	<Not Found>
Rainer Barthold Mech. Fertigung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Walter Möck GmbH Maschinen + Werkzeugbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Josef Leippert Mechanische Schmiedewerkstatt	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schön-Federn u. Drahtbiegeteile GmbH & Co. KG	Schön Federn und Drahtbiegeteile GmbH & Co. KG	Kohlstetterstr. 1	Claus-Dieter Schön	<Not Found>
Jürgen Rupp Feinwerkmechanik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Ruess Metallbau Inh. Thomas Staudinger e. K.	Reinhold Ruess Metallbau Inh. Thomas Staudinger e.K.	Göppingen	Thomas Staudinger	<Not Found>
Schlosserei Bernd Schmelzle	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Helmut Bihr GmbH Maschinenbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Paul Hofmann GmbH Schlosserei und Blitzableiterbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau-Konstruktionstechnik Othmar Frainer	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Walter Schlosserei - Rolladenbau e.K.	Walter Schlosserei und Rolladenbau e.K.	Eislingen/Fils	<Not Found>	<Not Found>
Buchele GmbH Türen + Tore	<Not Found>	<Not Found>	<Not Found>	<Not Found>
A. Kraus GmbH Feinwerkmechanik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Leutz GbR Metallbau-Schlosserei-Schmiede	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schmiede Kurt Schmid	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Martin Zaiser Schmiede	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Otto Hummel Maschinenbaumechanik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
AG Maschinenservice Inh. Joachim Großmann e. K.	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Wittmann GmbH Zahnradfabrik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Dieter Kallinger Funkenerosionstechnik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Gerd & Werner Kühnle GBR Mechan. Werkstätte	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Heinrich Linsenmaier KG	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Persichella Metallverarbeitung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Rathgeber Metallbau Paul Josef Rathgeber	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Kampke	<Not Found>	<Not Found>	<Not Found>	<Not Found>
BS Metallbautechnik Birsan Übübol Metallbaumeister	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Stahlbau- u. Anlagenmontagen Retzlaff GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Heinz Seitz	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Rolf Schäffler	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Stahlbau Bühler	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Andreas Wild	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Gräber	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Ernst Robert Wolf Werkzeugbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
G. u. K. Frank GmbH Formen und Werkzeugbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
FRASCH GmbH & Co. KG Maschinenbau - Fördertechnik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Stahl-Metallbau Schmid GmbH	Walter Schmid, Stahl- und Metallbau GmbH	Jakob-Schmid-Str. 3	Erwin Brunmeier	Walter Schmid
Gutjahr GmbH Sondermaschinenbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Hermann Driendl GmbH + Co. KG Zerspanungstechnik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Hablizel GmbH & Co. KG Automatendreherei	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Metallbau Kohlhaas	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Aman + Quattlender GbR Blech am Bau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Martin Dieterich	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Plankenhorn GmbH Maschinenbau Metallbearbeitung	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Braun Pulverbeschichtungen Inh. Thomas Parzen e.K.	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Chromik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Buck GmbH	Schlosserei Buck GmbH	Richthofenstr. 18	Bernd Buck	<Not Found>
Landmaschinen Braitinger GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Werner Schmid	<Not Found>	<Not Found>	<Not Found>	<Not Found>
LASSLOP GmbH Schlosserei - Apparatebau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Claus Mollenkopf	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Röhm Bau- und Kunstschlosserei	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Formen- und Werkzeugbau Otto Knaup GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Georg Mack GmbH & Co. KG Präzision in Metall	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Scharpf Treppen	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Axel Kaiser Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Weimper u. Baumann GmbH Schlosserei	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Starz Metallbau kreativ und kompetent	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Reese + Fischer GmbH + Co. KG NAPOLEON-Werkzeuge	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Amon Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bauschlosserei Bolsinger	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Hägele u. Böhm GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Hartmut Fürst Hufbeschlag	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schrimpf Werkzeug- u. Vorrichtungsbau GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bayer Metallgestaltung & Kunstschmiede	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Kuchler Maschinenbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Hans-Willy Csader	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallverarbeitung Ulrich Dannbacher	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Wachter-Mechanik Inh. Werner Wachter	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Bau- und Kunstschmiede Karl Kolb	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Fürst Klaus Stahl- u. Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schmiedekunst u. Metallgestaltung Emil Schneider e.K. Inh. W. Ribnitzky	<Not Found>	<Not Found>	<Not Found>	<Not Found>
KMS-Metall GmbH Fertigungstechnik	Szabo GmbH Fertigungstechnik	Otto-Wels-Str. 16	Kaufmann Christian Szabo	<Not Found>
Löcher GmbH Werkzeuge und Präzisionsteile	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Oscar Gelbmann GmbH	Oscar Gelbmann GmbH Metallverarbeitung	In der Waage 12	<Not Found>	<Not Found>
Wilhelm Mahler Stahl- und Metallbau	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Reinhold Frank GmbH & Co. KG Sondermaschinen	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Rudolf Mangold GmbH Stahl- und Metallbau	Rudolf Mangold Stahl- und Metallbau GmbH		<Not Found>	<Not Found>
Holzbau Binz GmbH & Co. KG	Holzbau Binz GmbH & Co.KG	Am Limes 40	<Not Found>	<Not Found>
Stahlbau Schlosserei Rudolf Kurz	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Manfred Bäuerle Edelstahlwerkstatt	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei-Metallbau Josef Egetenmeyer	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Erich Waibel Büroorganisation	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Mössner Tore und Türen	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Berufsvorbereitungswerk Ostalb gGmbh	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Wörner Metallbearbeitung GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Willi Haug	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Druckguss-Drehteile Bernd König	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Bruno Kinzler	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Metallbau Titze e.K. Inh. Steffen Titze	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei-Metallbau Bernd Schuster	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Hudelmaier Zuführtechnik, Sortiertechnik & Komplettlösungen	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Hermann Kleesattel Obermeister	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Schlosserei Hans Eiberger	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Mohl Metall- und Kunststofftechnik GbR	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Hans Jung Montagebetrieb/Torservice	<Not Found>	<Not Found>	<Not Found>	<Not Found>
